# Ecm || delta_mean delta_err || kcotd_mean kcotd_err || ksq ksq_err
0.641092 || 0  0 || 0.00103755  0.000122988 || -0.00801272  0
0.641106 || 0  0 || 0.00103665  0.000122923 || -0.00800823  0
0.64112 || 0  0 || 0.00103575  0.000122857 || -0.00800375  0
0.641134 || 0  0 || 0.00103484  0.000122791 || -0.00799926  0
0.641148 || 0  0 || 0.00103394  0.000122726 || -0.00799477  0
0.641162 || 0  0 || 0.00103303  0.000122659 || -0.00799028  0
0.641176 || 0  0 || 0.00103213  0.000122593 || -0.00798579  0
0.64119 || 0  0 || 0.00103122  0.000122526 || -0.0079813  0
0.641204 || 0  0 || 0.00103031  0.00012246 || -0.00797682  0
0.641218 || 0  0 || 0.00102941  0.000122393 || -0.00797233  0
0.641232 || 0  0 || 0.0010285  0.000122325 || -0.00796784  0
0.641246 || 0  0 || 0.00102759  0.000122258 || -0.00796335  0
0.64126 || 0  0 || 0.00102668  0.00012219 || -0.00795886  0
0.641274 || 0  0 || 0.00102577  0.000122122 || -0.00795437  0
0.641288 || 0  0 || 0.00102486  0.000122054 || -0.00794988  0
0.641302 || 0  0 || 0.00102395  0.000121986 || -0.00794539  0
0.641316 || 0  0 || 0.00102304  0.000121917 || -0.0079409  0
0.64133 || 0  0 || 0.00102213  0.000121848 || -0.00793641  0
0.641344 || 0  0 || 0.00102122  0.000121779 || -0.00793192  0
0.641358 || 0  0 || 0.0010203  0.00012171 || -0.00792743  0
0.641372 || 0  0 || 0.00101939  0.00012164 || -0.00792294  0
0.641386 || 0  0 || 0.00101847  0.00012157 || -0.00791845  0
0.6414 || 0  0 || 0.00101756  0.0001215 || -0.00791396  0
0.641414 || 0  0 || 0.00101664  0.00012143 || -0.00790947  0
0.641428 || 0  0 || 0.00101573  0.000121359 || -0.00790498  0
0.641442 || 0  0 || 0.00101481  0.000121289 || -0.00790049  0
0.641456 || 0  0 || 0.00101389  0.000121218 || -0.007896  0
0.64147 || 0  0 || 0.00101298  0.000121146 || -0.00789151  0
0.641484 || 0  0 || 0.00101206  0.000121075 || -0.00788702  0
0.641498 || 0  0 || 0.00101114  0.000121003 || -0.00788253  0
0.641512 || 0  0 || 0.00101022  0.000120931 || -0.00787804  0
0.641526 || 0  0 || 0.0010093  0.000120859 || -0.00787354  0
0.64154 || 0  0 || 0.00100838  0.000120786 || -0.00786905  0
0.641554 || 0  0 || 0.00100745  0.000120714 || -0.00786456  0
0.641568 || 0  0 || 0.00100653  0.00012064 || -0.00786007  0
0.641582 || 0  0 || 0.00100561  0.000120567 || -0.00785558  0
0.641596 || 0  0 || 0.00100468  0.000120494 || -0.00785109  0
0.64161 || 0  0 || 0.00100376  0.00012042 || -0.0078466  0
0.641624 || 0  0 || 0.00100283  0.000120346 || -0.0078421  0
0.641638 || 0  0 || 0.00100191  0.000120271 || -0.00783761  0
0.641652 || 0  0 || 0.00100098  0.000120197 || -0.00783312  0
0.641666 || 0  0 || 0.00100006  0.000120122 || -0.00782863  0
0.64168 || 0  0 || 0.000999128  0.000120047 || -0.00782414  0
0.641694 || 0  0 || 0.000998199  0.000119971 || -0.00781964  0
0.641708 || 0  0 || 0.00099727  0.000119896 || -0.00781515  0
0.641722 || 0  0 || 0.000996341  0.00011982 || -0.00781066  0
0.641736 || 0  0 || 0.00099541  0.000119744 || -0.00780617  0
0.64175 || 0  0 || 0.000994479  0.000119667 || -0.00780167  0
0.641764 || 0  0 || 0.000993548  0.00011959 || -0.00779718  0
0.641778 || 0  0 || 0.000992615  0.000119513 || -0.00779269  0
0.641792 || 0  0 || 0.000991682  0.000119436 || -0.0077882  0
0.641806 || 0  0 || 0.000990749  0.000119359 || -0.0077837  0
0.64182 || 0  0 || 0.000989814  0.000119281 || -0.00777921  0
0.641834 || 0  0 || 0.000988879  0.000119203 || -0.00777472  0
0.641848 || 0  0 || 0.000987943  0.000119124 || -0.00777022  0
0.641862 || 0  0 || 0.000987007  0.000119045 || -0.00776573  0
0.641876 || 0  0 || 0.00098607  0.000118966 || -0.00776124  0
0.64189 || 0  0 || 0.000985132  0.000118887 || -0.00775674  0
0.641904 || 0  0 || 0.000984193  0.000118808 || -0.00775225  0
0.641918 || 0  0 || 0.000983254  0.000118728 || -0.00774775  0
0.641932 || 0  0 || 0.000982314  0.000118648 || -0.00774326  0
0.641946 || 0  0 || 0.000981374  0.000118567 || -0.00773877  0
0.64196 || 0  0 || 0.000980432  0.000118486 || -0.00773427  0
0.641974 || 0  0 || 0.00097949  0.000118405 || -0.00772978  0
0.641988 || 0  0 || 0.000978548  0.000118324 || -0.00772528  0
0.642002 || 0  0 || 0.000977604  0.000118242 || -0.00772079  0
0.642016 || 0  0 || 0.00097666  0.00011816 || -0.0077163  0
0.64203 || 0  0 || 0.000975715  0.000118078 || -0.0077118  0
0.642044 || 0  0 || 0.00097477  0.000117996 || -0.00770731  0
0.642058 || 0  0 || 0.000973823  0.000117913 || -0.00770281  0
0.642072 || 0  0 || 0.000972876  0.00011783 || -0.00769832  0
0.642086 || 0  0 || 0.000971929  0.000117746 || -0.00769382  0
0.6421 || 0  0 || 0.00097098  0.000117662 || -0.00768933  0
0.642114 || 0  0 || 0.000970031  0.000117578 || -0.00768483  0
0.642128 || 0  0 || 0.000969081  0.000117494 || -0.00768034  0
0.642142 || 0  0 || 0.00096813  0.000117409 || -0.00767584  0
0.642156 || 0  0 || 0.000967179  0.000117324 || -0.00767134  0
0.64217 || 0  0 || 0.000966227  0.000117239 || -0.00766685  0
0.642184 || 0  0 || 0.000965274  0.000117153 || -0.00766235  0
0.642198 || 0  0 || 0.00096432  0.000117067 || -0.00765786  0
0.642212 || 0  0 || 0.000963366  0.000116981 || -0.00765336  0
0.642226 || 0  0 || 0.000962411  0.000116894 || -0.00764887  0
0.64224 || 0  0 || 0.000961455  0.000116807 || -0.00764437  0
0.642254 || 0  0 || 0.000960498  0.00011672 || -0.00763987  0
0.642268 || 0  0 || 0.000959541  0.000116632 || -0.00763538  0
0.642282 || 0  0 || 0.000958583  0.000116544 || -0.00763088  0
0.642296 || 0  0 || 0.000957624  0.000116456 || -0.00762638  0
0.64231 || 0  0 || 0.000956664  0.000116367 || -0.00762189  0
0.642324 || 0  0 || 0.000955704  0.000116278 || -0.00761739  0
0.642338 || 0  0 || 0.000954742  0.000116189 || -0.00761289  0
0.642352 || 0  0 || 0.00095378  0.000116099 || -0.0076084  0
0.642366 || 0  0 || 0.000952818  0.000116009 || -0.0076039  0
0.64238 || 0  0 || 0.000951854  0.000115919 || -0.0075994  0
0.642394 || 0  0 || 0.00095089  0.000115828 || -0.00759491  0
0.642408 || 0  0 || 0.000949924  0.000115737 || -0.00759041  0
